AHJID,AHJ,State
851,San Francisco,CA
852,Alameda,CA
853,Alameda County,CA
854,Albany,CA
855,Aliso Viejo,CA
856,Amador County,CA
857,American Canyon,CA
858,Anaheim,CA
859,Anderson,CA
860,Agoura Hills,CA
861,Antioch,CA
862,Apple Valley,CA
863,Arcadia,CA
864,Arcata,CA
865,Arroyo Grande,CA
866,Atascadero,CA
867,Atherton,CA
868,Atwater,CA
870,Auburn,CA
871,Bakersfield,CA
872,Bellflower,CA
873,Belmont,CA
875,Belvedere,CA
876,Benicia,CA
878,Berkeley,CA
879,Beverly Hills,CA
881,Brea,CA
882,Brentwood,CA
883,Buena Park,CA
884,Burbank,CA
885,Burlingame,CA
886,Butte County,CA
888,Calabasas,CA
889,Calaveras County,CA
890,Calistoga,CA
891,Camarillo,CA
892,Campbell,CA
893,Canyon Lake,CA
894,Capitola,CA
895,Carlsbad,CA
896,Carson,CA
897,Cathedral City,CA
898,Cerritos,CA
900,Chico,CA
901,Chino,CA
902,Chino Hills,CA
903,Chula Vista,CA
904,Citrus Heights,CA
905,Claremont,CA
906,Clayton,CA
907,Clearlake,CA
908,Cloverdale,CA
909,Clovis,CA
910,Colma,CA
911,Concord,CA
912,Contra Costa County,CA
913,Corcoran,CA
914,Corona,CA
915,Coronado,CA
916,Corte Madera,CA
917,Costa Mesa,CA
918,Covina,CA
919,Culver City,CA
920,Cupertino,CA
921,Cypress,CA
922,Daly City,CA
923,Dana Point,CA
924,Danville,CA
925,Davis,CA
926,Del Mar,CA
927,Diamond Bar,CA
928,Dinuba,CA
929,Dixon,CA
930,Downey,CA
931,Dublin,CA
933,East Palo Alto,CA
935,El Cajon,CA
936,El Centro,CA
937,El Cerrito,CA
939,El Dorado County,CA
941,El Monte,CA
942,El Segundo,CA
943,Elk Grove,CA
944,Emeryville,CA
945,Encinitas,CA
946,Escondido,CA
947,Eureka,CA
948,Exeter,CA
949,Fairfax,CA
951,Fillmore,CA
952,Firebaugh,CA
953,Folsom,CA
954,Fontana,CA
955,Fort Bragg,CA
956,Fortuna,CA
957,Foster City,CA
958,Fountain Valley,CA
959,Fremont,CA
961,Fresno,CA
962,Fresno County,CA
963,Fullerton,CA
964,Garden Grove,CA
967,Gilroy,CA
968,Glendale,CA
969,Glendora,CA
970,Goleta,CA
971,Grass Valley,CA
972,Grover Beach,CA
973,Half Moon Bay,CA
974,Hanford,CA
975,Hawthorne,CA
976,Hayward,CA
977,Healdsburg,CA
978,Hemet,CA
979,Hercules,CA
980,Hermosa Beach,CA
981,Hesperia,CA
982,Highland,CA
983,Hillsborough,CA
984,Hollister,CA
986,Huntington Beach,CA
987,Imperial City,CA
988,Imperial County,CA
989,Industry,CA
990,Irvine,CA
992,Kern County,CA
993,Kings County,CA
994,Kingsburg,CA
995,La Cañada Flintridge,CA
996,La Habra,CA
997,La Habra Heights,CA
999,La Mesa,CA
1001,La Verne,CA
1002,Lafayette,CA
1003,Laguna Beach,CA
1004,Laguna Hills,CA
1005,Laguna Niguel,CA
1006,Lake Elsinore,CA
1007,Lake Forest,CA
1008,Lakeport,CA
1009,Lakewood,CA
1010,Lancaster,CA
1011,Larkspur,CA
1012,Laytonville,CA
1013,Lemoore,CA
1015,Lincoln,CA
1016,Live Oak,CA
1017,Livermore,CA
1018,Lodi,CA
1019,Loma Linda,CA
1020,Lomita,CA
1021,Long Beach,CA
1022,Loomis,CA
1023,Los Alamitos,CA
1024,Los Altos,CA
1025,Los Altos Hills,CA
1026,Los Angeles,CA
1027,Los Angeles County,CA
1028,Los Banos,CA
1029,Los Gatos,CA
1030,Lucerne,CA
1031,Madera,CA
1032,Madera County,CA
1033,Malibu,CA
1034,Manhattan Beach,CA
1035,Manteca,CA
1037,Marin County,CA
1038,Martinez,CA
1039,Marysville,CA
1041,Menifee,CA
1043,Menlo Park,CA
1044,Merced,CA
1045,Mill Valley,CA
1046,Millbrae,CA
1047,Milpitas,CA
1049,Mission Viejo,CA
1050,Monrovia,CA
1051,Monte Sereno,CA
1052,Montclair,CA
1053,Monterey,CA
1054,Monterey County,CA
1055,Moraga,CA
1056,Moreno Valley,CA
1057,Morgan Hill,CA
1058,Mountain View,CA
1059,Murrieta,CA
1060,Napa,CA
1061,Napa County,CA
1062,Nevada County,CA
1063,Newark,CA
1064,Newport Beach,CA
1066,Norco,CA
1067,Novato,CA
1068,Oakdale,CA
1069,Oakland,CA
1070,Oakley,CA
1073,Oceanside,CA
1074,Ojai,CA
1075,Ontario,CA
1076,Orange City,CA
1077,Orange County,CA
1079,Orinda,CA
1080,Orland,CA
1082,Oxnard,CA
1083,Pacifica,CA
1084,Palm Desert,CA
1085,Palm Springs,CA
1086,Palo Alto,CA
1089,Palos Verdes Estates,CA
1090,Paradise,CA
1091,Pasadena,CA
1092,Perris,CA
1094,Petaluma,CA
1095,Piedmont,CA
1096,Pinole,CA
1097,Pittsburg,CA
1098,Pixley,CA
1099,Placentia,CA
1100,Placer County,CA
1101,Placerville,CA
1102,Pleasant Hill,CA
1103,Pleasanton,CA
1104,Plymouth City,CA
1105,Point Arena,CA
1106,Porterville,CA
1107,Portola Valley,CA
1108,Poway,CA
1110,Rancho Cucamonga,CA
1111,Rancho Palos Verdes,CA
1112,Rancho Santa Margarita,CA
